brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size,release_year,age_years,condition,original_price,fair_price
MSI,i9,8,1024,HDD,RTX 4070,17.0,2019,5,Excellent,134092,28206
Apple,M1,64,1024,SSD,GTX 1650,16.0,2023,1,Excellent,150794,69606
Apple,Ryzen 7,8,2048,SSD,RTX 3050,15.6,2019,5,Poor,104573,8000
Acer,i7,64,1024,HDD,Integrated,15.6,2022,2,Excellent,132796,37411
Apple,M2,64,512,HDD,Integrated,14.0,2022,2,Good,148550,51495
Apple,M1,32,1024,HDD,RTX 3060,14.0,2021,3,Good,132803,37746
Acer,i5,16,2048,HDD,M1 GPU,16.0,2023,1,Good,91999,26190
Apple,M2,16,2048,HDD,RTX 4070,14.0,2022,2,Poor,170914,26535
Asus,M2,8,1024,SSD,Integrated,13.0,2018,6,Excellent,107130,14063
Dell,M1,32,1024,HDD,RTX 4070,14.0,2019,5,Fair,145861,15543
HP,i3,64,1024,SSD,RTX 4070,15.6,2021,3,Fair,169539,25896
Asus,i7,8,256,SSD,M2 GPU,15.6,2018,6,Excellent,101086,12330
Lenovo,Ryzen 9,8,2048,SSD,RTX 3060,17.0,2022,2,Good,146155,43227
MSI,i7,16,2048,HDD,RTX 4070,13.0,2022,2,Fair,148252,29570
Acer,Ryzen 9,64,256,SSD,Integrated,13.0,2018,6,Excellent,147223,16242
Lenovo,Ryzen 9,16,2048,SSD,M1 GPU,17.0,2018,6,Good,127508,13894
Acer,M1,8,2048,SSD,Integrated,14.0,2021,3,Good,104431,22225
Asus,i3,64,256,SSD,GTX 1650,14.0,2021,3,Good,102863,24673
Lenovo,i5,8,2048,SSD,M1 GPU,16.0,2020,4,Good,97393,19203
Asus,i9,16,512,SSD,M2 GPU,13.0,2018,6,Excellent,124376,13947
Apple,i9,32,512,SSD,RTX 3050,16.0,2021,3,Good,152334,43049
Dell,M2,8,512,HDD,M1 GPU,14.0,2020,4,Excellent,109702,28458
Apple,i3,16,256,SSD,RTX 3060,17.0,2022,2,Excellent,91504,37222
Lenovo,i7,64,2048,SSD,Integrated,16.0,2020,4,Fair,169591,23703
Acer,i7,64,512,HDD,Integrated,17.0,2019,5,Good,118384,15685
Asus,M2,64,256,SSD,M1 GPU,17.0,2021,3,Fair,168379,28356
Dell,i7,16,1024,SSD,M1 GPU,17.0,2020,4,Good,115389,22715
Acer,i3,64,1024,SSD,RTX 4070,16.0,2022,2,Good,164973,42144
Dell,Ryzen 5,16,1024,HDD,RTX 4070,17.0,2018,6,Good,115203,12639
Apple,Ryzen 5,64,1024,SSD,RTX 3050,14.0,2018,6,Fair,139009,13526
Acer,M1,16,2048,SSD,M2 GPU,14.0,2020,4,Good,137145,24336
Dell,Ryzen 7,64,1024,SSD,M2 GPU,14.0,2020,4,Good,152198,25926
MSI,M2,64,256,SSD,M1 GPU,16.0,2020,4,Good,167394,30791
MSI,Ryzen 7,32,256,SSD,M1 GPU,17.0,2023,1,Excellent,107925,42231
Acer,Ryzen 7,32,2048,SSD,RTX 4070,16.0,2021,3,Good,184725,40293
Apple,i7,32,2048,HDD,RTX 4070,14.0,2021,3,Excellent,160609,56397
Lenovo,Ryzen 9,16,256,SSD,M1 GPU,13.0,2021,3,Excellent,107996,29287
HP,Ryzen 7,64,256,SSD,RTX 4070,13.0,2022,2,Good,181231,46468
