brand,model,release_year,age_years,ram_gb,storage_gb,original_price,condition,fair_price
Realme,Realme GT 2,2023,1,8,512,91820,Excellent,66173
Xiaomi,Poco F5,2023,1,12,512,31023,Good,43635
Google,Pixel 6,2020,4,12,64,98104,Good,34500
OnePlus,OnePlus 11R,2019,5,8,256,99478,Excellent,31376
Google,Pixel 7 Pro,2021,3,12,256,81803,Good,42494
Xiaomi,Redmi Note 11,2019,5,6,512,23792,Poor,34685
Samsung,Galaxy S22,2023,1,6,512,38483,Excellent,49869
Realme,Realme Narzo 60,2019,5,12,128,84479,Fair,24365
Vivo,V25,2022,2,16,256,87409,Good,51558
OnePlus,OnePlus Nord 3,2022,2,4,128,70591,Fair,26471
Realme,Realme 11,2020,4,4,512,54099,Good,35307
Realme,Realme 11,2019,5,4,256,17568,Fair,17025
Google,Pixel 7 Pro,2021,3,8,64,48159,Fair,22279
Oppo,F21 Pro,2020,4,4,512,37662,Fair,33774
Samsung,Galaxy M34,2021,3,12,512,25965,Fair,42361
Oppo,A78,2019,5,16,128,113806,Fair,30897
Samsung,Galaxy S22,2020,4,12,64,65015,Good,26029
Google,Pixel 6,2023,1,16,256,48827,Poor,38892
Xiaomi,Mi 11 Lite,2020,4,6,64,57557,Good,19529
OnePlus,OnePlus Nord CE 3,2022,2,12,128,57941,Good,36321
OnePlus,OnePlus 11R,2019,5,4,64,81842,Good,16145
Samsung,Galaxy A54,2021,3,4,128,18748,Good,14395
Google,Pixel 7 Pro,2021,3,4,512,69384,Excellent,49912
OnePlus,OnePlus Nord 3,2020,4,8,64,82172,Good,21794
Samsung,Galaxy S22,2020,4,12,128,15854,Good,23023
Xiaomi,Redmi 12,2023,1,12,128,119095,Good,58953
Realme,Realme Narzo 60,2021,3,4,256,52157,Good,28728
Vivo,T2,2019,5,4,512,101202,Excellent,37910
OnePlus,OnePlus Nord CE 3,2021,3,12,256,49754,Fair,32010
Realme,Realme GT 2,2019,5,4,512,86295,Good,40581
Xiaomi,Mi 11 Lite,2019,5,4,128,62254,Good,17114
Realme,Realme GT 2,2020,4,4,512,92371,Good,48377
Vivo,Y100,2023,1,16,512,76434,Excellent,69566
Xiaomi,Poco F5,2022,2,4,512,44299,Excellent,41474
Vivo,Y100,2021,3,4,256,17200,Excellent,19893
Apple,iPhone 13,2021,3,16,64,109179,Fair,40948
Oppo,Reno 7,2021,3,4,512,59064,Good,42343
Vivo,Y56,2021,3,8,256,64377,Good,35613
Realme,Realme GT 2,2019,5,16,512,55764,Good,47714
